name;diameter;count;price;type_size;category
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;150;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;150;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;200;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;200;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;200;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;200;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;250;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;250;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;250;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;250;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;300;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;300;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;300;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;300;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;350;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;350;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
